Gender,Education % 15-24 years Second degree and special vocational training degree,Education % 15-24 years Lowest higher and lower university level,Education % 15-24 years Higher university degree and research training,Education % 15-24 years All levels of education,Education % 15-24 years Elementary or unknown,Education % 15-24 years Total graduates,Education % 25-44 years Second degree and special vocational training degree,Education % 25-44 years Lowest higher and lower university level,Education % 25-44 years Higher university degree and research training,Education % 25-44 years All levels of education,Education % 25-44 years Elementary or unknown,Education % 25-44 years Total graduates,Education % 45-64 years Second degree and special vocational training degree,Education % 45-64 years Lowest higher and lower university level,Education % 45-64 years Higher university degree and research training,Education % 45-64 years All levels of education,Education % 45-64 years Elementary or unknown,Education % 45-64 years Total graduates,Education % 65 and over Second degree and special vocational training degree,Education % 65 and over Lowest higher and lower university level,Education % 65 and over Higher university degree and research training,Education % 65 and over All levels of education,Education % 65 and over Elementary or unknown,Education % 65 and over Total graduates,0-14 year olds,Pensioners and others,"Students, school children, conscripts and civil service",Employed,Unemployed,Labor force,Outside the labor force,Taxable income per housing association,Taxable income per person,Married couple without children,Married couple and children,Unmarried couple without children,Unmarried couple and children,Father and children,Mother and children,municipality,code,name,green area %
0,0.07121414,0.011340894,0.00050033355,0.12975317,0.0466978,0.08305537,0.10940627,0.08572382,0.15760507,0.40243495,0.0496998,0.35273516,0.059039358,0.055703804,0.1422615,0.28002,0.023015343,0.25700468,0.025183456,0.0496998,0.09306204,0.18779185,0.019846564,0.1679453,0.049903635,0.09980727,0.041712556,0.25130782,0.019892622,0.27120045,0.19142346,85910.0,47696.0,0.35123637,0.21403882,0.2844988,0.05716565,0.015953204,0.077107154,091,130,Etu-Toolo,16.9750728165342
1,0.088785045,0.019966016,0.002265647,0.15123194,0.040215235,0.111016706,0.073775135,0.10775984,0.1679411,0.3743982,0.024922118,0.34947607,0.041206457,0.06457094,0.12715945,0.2449731,0.01203625,0.23293684,0.03979043,0.08241291,0.07745681,0.22939678,0.02973662,0.19966015,0.051280286,0.13250275,0.048802312,0.28551763,0.019273128,0.30479074,0.23258536,85910.0,47696.0,0.35123637,0.21403882,0.2844988,0.05716565,0.015953204,0.077107154,091,130,Etu-Toolo,16.9750728165342
0,0.06671059,0.007906441,0.00016471751,0.114808105,0.040026356,0.074781746,0.13885686,0.10690166,0.15549333,0.4610443,0.059792455,0.40125185,0.06407511,0.043979574,0.106572226,0.24328776,0.028660847,0.21462691,0.028825564,0.047273926,0.0770878,0.18085982,0.027672542,0.15318729,0.05237316,0.09387889,0.03338789,0.24811783,0.022389526,0.27050737,0.17963994,64963.0,39513.0,0.32448134,0.19972338,0.29460582,0.076625176,0.020470263,0.084094055,091,140,Taka-Toolo,44.5084248223362
1,0.09313919,0.017840745,0.00065590977,0.14285715,0.031221304,0.11163584,0.08710481,0.119506754,0.17434081,0.4121737,0.031221304,0.3809524,0.038436312,0.06257379,0.103371374,0.21763085,0.013249377,0.20438148,0.044733044,0.08080808,0.062836155,0.22733831,0.038961038,0.18837728,0.049689036,0.13643208,0.04183306,0.30134207,0.020556465,0.32189852,0.22795418,64963.0,39513.0,0.32448134,0.19972338,0.29460582,0.076625176,0.020470263,0.084094055,091,140,Taka-Toolo,44.5084248223362
0,0.078893445,0.012807377,0.0,0.13114753,0.039446723,0.09170082,0.14549181,0.11526639,0.17571722,0.49641395,0.059938524,0.4364754,0.06659836,0.0414959,0.09631147,0.22592214,0.021516394,0.20440574,0.024590164,0.039959017,0.06506147,0.1465164,0.016905738,0.12961066,0.053620894,0.07024139,0.03779185,0.2534626,0.024732884,0.2781955,0.16165413,58230.0,35852.0,0.26721016,0.22916667,0.30706522,0.08152174,0.019927537,0.095108695,091,150,Meilahti,30.1839608929158
1,0.10950332,0.020727415,0.0011732499,0.17364098,0.042236995,0.13140398,0.08838483,0.13727024,0.18576457,0.43410248,0.02268283,0.41141963,0.041845914,0.05318733,0.101290576,0.20570982,0.009385999,0.19632381,0.03441533,0.06491983,0.04497458,0.18654673,0.042236995,0.14430974,0.054214485,0.112979814,0.055797387,0.31638306,0.020775624,0.33715868,0.22299169,58230.0,35852.0,0.26721016,0.22916667,0.30706522,0.08152174,0.019927537,0.095108695,091,150,Meilahti,30.1839608929158
0,0.10727273,0.0054545454,0.0,0.15727273,0.044545453,0.11272727,0.14545454,0.094545454,0.15363637,0.4490909,0.055454545,0.39363638,0.07090909,0.05272727,0.09,0.24818182,0.034545455,0.21363637,0.030909091,0.03909091,0.05181818,0.14545454,0.023636363,0.121818185,0.049168974,0.07479224,,0.22437674,0.023545707,0.24792244,0.18213296,54153.0,31646.0,0.2640264,0.23927392,0.3069307,0.07590759,0.014851485,0.0990099,091,161,Vanha Ruskeasuo,57.9642656876146
1,0.1047683,0.017461384,0.0,0.15110813,0.028878441,0.12222969,0.08797851,0.10409671,0.14775017,0.35862994,0.018804567,0.3398254,0.04432505,0.06917394,0.10879785,0.23572868,0.013431833,0.22229685,0.06312962,0.08394896,0.047683008,0.25453323,0.059771657,0.19476159,0.054362882,0.14923823,0.0716759,0.27770084,0.016966758,0.2946676,0.27527702,54153.0,31646.0,0.2640264,0.23927392,0.3069307,0.07590759,0.014851485,0.0990099,091,161,Vanha Ruskeasuo,57.9642656876146
0,0.051261514,0.002002403,0.00040048058,0.14096916,0.08730476,0.053664397,0.134161,0.07769323,0.081297554,0.35843012,0.06527834,0.2931518,0.114136964,0.06487785,0.07048458,0.31918302,0.06968362,0.2494994,0.042050462,0.044853825,0.051261514,0.1814177,0.043251902,0.1381658,0.08085231,0.09500875,,0.19658494,0.03225336,0.2288383,0.21643315,51653.0,25740.0,0.26746988,0.23674698,0.18915662,0.08975904,0.023493975,0.1933735,091,162,Pikku Huopalahti,18.6181788436538
1,0.0390482,0.004270897,0.0,0.10890787,0.06558877,0.0433191,0.081757165,0.07992678,0.08358756,0.2846248,0.039353263,0.2452715,0.10250153,0.09456986,0.08358756,0.3319097,0.051250763,0.28065893,0.07169005,0.08755339,0.04575961,0.27455765,0.069554605,0.20500305,0.07632808,0.16258027,,0.24065965,0.027291302,0.26795095,0.2867776,51653.0,25740.0,0.26746988,0.23674698,0.18915662,0.08975904,0.023493975,0.1933735,091,162,Pikku Huopalahti,18.6181788436538
0,0.046645936,0.009329187,0.000444247,0.10972901,0.05330964,0.05641937,0.14349177,0.1266104,0.12127943,0.4677921,0.07641049,0.39138162,0.08351844,0.049755663,0.054642383,0.223012,0.035095513,0.18791649,0.051532652,0.047978677,0.053753886,0.1994669,0.046201687,0.15326522,0.05510241,0.11346746,,0.23672286,0.023744788,0.26046765,0.20264636,53664.0,28511.0,0.32119447,0.19446467,0.2672979,0.08594319,0.01675164,0.11434814,091,171,Lansi-Pasila,34.2576809810568
1,0.053403534,0.015795412,0.00037608124,0.10981572,0.040240694,0.06957503,0.092892066,0.12335464,0.1365175,0.39526138,0.04249718,0.3527642,0.07860098,0.072583675,0.056036104,0.2305378,0.023317037,0.20722076,0.07032719,0.077096656,0.045881912,0.2643851,0.07107935,0.19330576,0.054921154,0.16023201,0.041145552,0.25919884,0.021388436,0.2805873,0.25629872,53664.0,28511.0,0.32119447,0.19446467,0.2672979,0.08594319,0.01675164,0.11434814,091,171,Lansi-Pasila,34.2576809810568
0,0.10991957,0.0053619305,0.0,0.17158177,0.056300268,0.1152815,0.20375335,0.19034852,0.1152815,0.6327078,0.123324394,0.5093834,0.058981232,0.03753351,0.050938338,0.16085792,0.013404826,0.14745308,0.01608579,0.008042895,0.0,0.034852546,0.010723861,0.024128687,0.052744888,0.033369213,0.027987083,0.3110872,0.02906351,0.3401507,0.11410119,,,0.20982987,0.18714556,0.3553875,0.115311906,0.015122874,0.11720227,091,172,Pohjois-Pasila,23.5914696317747
1,0.1778742,0.03253796,0.0021691974,0.28199565,0.06941432,0.21258135,0.121475056,0.164859,0.14316703,0.4815618,0.05206074,0.4295011,0.04338395,0.07809111,0.04121475,0.18872017,0.02603037,0.1626898,0.010845987,0.015184382,0.004338395,0.047722343,0.01735358,0.030368764,0.04951561,0.048439182,0.057050593,0.3606028,0.030139936,0.39074275,0.15500538,,,0.20982987,0.18714556,0.3553875,0.115311906,0.015122874,0.11720227,091,172,Pohjois-Pasila,23.5914696317747
0,0.058645707,0.0066505442,0.0,0.12031439,0.05501814,0.065296255,0.13905683,0.11547763,0.11185006,0.5169287,0.15054414,0.36638454,0.07496977,0.049576785,0.04292624,0.20677146,0.03929867,0.1674728,0.049576785,0.030834341,0.033857316,0.15598549,0.04171705,0.11426844,0.058117837,0.11916822,,0.24233538,0.036523595,0.27885896,0.22020794,40908.0,22690.0,0.25826973,0.17302799,0.3384224,0.077608146,0.027989822,0.124681935,091,173,Ita-Pasila,47.0784288723431
1,0.061077844,0.016167665,0.0,0.12874252,0.051497005,0.07724551,0.098802395,0.13293414,0.11497006,0.4497006,0.10299401,0.3467066,0.056886226,0.04191617,0.039520957,0.17245509,0.034131736,0.13832335,0.06526946,0.054491017,0.025748502,0.2491018,0.10359281,0.14550897,0.055718474,0.15329246,,0.21594241,0.026659558,0.24260198,0.25833112,40908.0,22690.0,0.25826973,0.17302799,0.3384224,0.077608146,0.027989822,0.124681935,091,173,Ita-Pasila,47.0784288723431
0,0.08227848,0.012658228,0.0021097045,0.11814346,0.021097047,0.09704641,0.17510548,0.18565401,0.21097046,0.6413502,0.06962025,0.57172996,0.05485232,0.052742615,0.07805907,0.19198312,0.006329114,0.18565401,0.010548524,0.010548524,0.021097047,0.048523206,0.006329114,0.042194095,0.032629557,0.03358925,0.03742802,0.36756238,0.016314778,0.38387716,0.10364683,,,0.23222749,0.13981043,0.5,0.0450237,0.0047393367,0.07819905,091,174,Keski-Pasila,14.5513492004686
1,0.15322581,0.026209677,0.002016129,0.21572581,0.034274194,0.18145162,0.14919356,0.19959678,0.18346775,0.5604839,0.028225806,0.5322581,0.054435484,0.05645161,0.04032258,0.16330644,0.012096774,0.15120968,0.024193548,0.022177419,0.012096774,0.06048387,0.002016129,0.058467742,0.03646833,0.041266795,0.045105565,0.37044147,0.019193858,0.38963532,0.12284069,,,0.23222749,0.13981043,0.5,0.0450237,0.0047393367,0.07819905,091,174,Keski-Pasila,14.5513492004686
