"Alue,""Tulotyyppi"",""2017"""
"091 201 Ruoholahti,""Valtionveronalaiset tulot € / henkilo"",27350"
"091 201 Ruoholahti,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",795645"
"091 201 Ruoholahti,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",54534"
"091 201 Ruoholahti,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26268"
"091 201 Ruoholahti,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",651930"
"091 201 Ruoholahti,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",44683"
"091 201 Ruoholahti,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21523"
"091 202 Lapinlahti,""Asuntokunnat"",.."
"091 202 Lapinlahti,""Henkilot"",.."
"091 202 Lapinlahti,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 202 Lapinlahti,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 202 Lapinlahti,""Valtionveronalaiset tulot € / henkilo"",.."
"091 202 Lapinlahti,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 202 Lapinlahti,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 202 Lapinlahti,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 202 Lapinlahti,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 202 Lapinlahti,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 202 Lapinlahti,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 203 Jatkasaari,""Asuntokunnat"",4846"
"091 203 Jatkasaari,""Henkilot"",9341"
"091 203 Jatkasaari,""Valtionveronalaiset tulot yhteensa 100 €"",3186676"
"091 203 Jatkasaari,""Valtionveronalaiset tulot € / asuntokunta"",65759"
"091 203 Jatkasaari,""Valtionveronalaiset tulot € / henkilo"",34115"
"091 203 Jatkasaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2960393"
"091 203 Jatkasaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",61089"
"091 203 Jatkasaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",31692"
"091 203 Jatkasaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2476276"
"091 203 Jatkasaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",51099"
"091 203 Jatkasaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",26510"
"091 104 Taka-Toolon peruspiiri,""Asuntokunnat"",9244"
"091 104 Taka-Toolon peruspiiri,""Henkilot"",15198"
"091 104 Taka-Toolon peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",6005139"
"091 104 Taka-Toolon peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",64963"
"091 104 Taka-Toolon peruspiiri,""Valtionveronalaiset tulot € / henkilo"",39513"
"091 104 Taka-Toolon peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",5423410"
"091 104 Taka-Toolon peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",58670"
"091 104 Taka-Toolon peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",35685"
"091 104 Taka-Toolon peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4599627"
"091 104 Taka-Toolon peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",49758"
"091 104 Taka-Toolon peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",30265"
"091 140 Taka-Toolo,""Asuntokunnat"",9244"
"091 140 Taka-Toolo,""Henkilot"",15198"
"091 140 Taka-Toolo,""Valtionveronalaiset tulot yhteensa 100 €"",6005139"
"091 140 Taka-Toolo,""Valtionveronalaiset tulot € / asuntokunta"",64963"
"091 140 Taka-Toolo,""Valtionveronalaiset tulot € / henkilo"",39513"
"091 140 Taka-Toolo,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",5423410"
"091 140 Taka-Toolo,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",58670"
"091 140 Taka-Toolo,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",35685"
"091 140 Taka-Toolo,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4599627"
"091 140 Taka-Toolo,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",49758"
"091 140 Taka-Toolo,""Kunnallisverotuksessa verotettava tulo € / henkilo"",30265"
"091 105 Lauttasaaren peruspiiri,""Asuntokunnat"",13084"
"091 105 Lauttasaaren peruspiiri,""Henkilot"",24170"
"091 105 Lauttasaaren peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",10028804"
"091 105 Lauttasaaren peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",76649"
"091 105 Lauttasaaren peruspiiri,""Valtionveronalaiset tulot € / henkilo"",41493"
"091 105 Lauttasaaren peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",8821609"
"091 105 Lauttasaaren peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",67423"
"091 105 Lauttasaaren peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",36498"
"091 105 Lauttasaaren peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",7588183"
"091 105 Lauttasaaren peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",57996"
"091 105 Lauttasaaren peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",31395"
"091 310 Lauttasaari (Ent.),""Asuntokunnat"",."
"091 310 Lauttasaari (Ent.),""Henkilot"",."
"091 310 Lauttasaari (Ent.),""Valtionveronalaiset tulot yhteensa 100 €"",."
"091 310 Lauttasaari (Ent.),""Valtionveronalaiset tulot € / asuntokunta"",."
"091 310 Lauttasaari (Ent.),""Valtionveronalaiset tulot € / henkilo"",."
"091 310 Lauttasaari (Ent.),""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 310 Lauttasaari (Ent.),""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 310 Lauttasaari (Ent.),""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 310 Lauttasaari (Ent.),""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",."
"091 310 Lauttasaari (Ent.),""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",."
"091 310 Lauttasaari (Ent.),""Kunnallisverotuksessa verotettava tulo € / henkilo"",."
"091 311 Kotkavuori,""Asuntokunnat"",4853"
"091 311 Kotkavuori,""Henkilot"",8481"
"091 311 Kotkavuori,""Valtionveronalaiset tulot yhteensa 100 €"",3135318"
"091 311 Kotkavuori,""Valtionveronalaiset tulot € / asuntokunta"",64606"
"091 311 Kotkavuori,""Valtionveronalaiset tulot € / henkilo"",36969"
"091 311 Kotkavuori,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2873360"
"091 311 Kotkavuori,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",59208"
"091 311 Kotkavuori,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",33880"
"091 311 Kotkavuori,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2434822"
