"Alue,""Perhetyyppi"",""2022"""
"091 464 Marttila,""Perheet yhteensa"",.."
"091 464 Marttila,""Aviopari ilman lapsia"",.."
"091 464 Marttila,""Avopari ilman lapsia"",.."
"091 464 Marttila,""Aviopari ja lapsia"",.."
"091 464 Marttila,""Avopari ja lapsia"",.."
"091 464 Marttila,""aiti ja lapsia"",.."
"091 464 Marttila,""Isa ja lapsia"",.."
"091 465 Pitajanmaen yritysalue,""Perheet yhteensa"",962"
"091 465 Pitajanmaen yritysalue,""Aviopari ilman lapsia"",318"
"091 465 Pitajanmaen yritysalue,""Avopari ilman lapsia"",222"
"091 465 Pitajanmaen yritysalue,""Aviopari ja lapsia"",208"
"091 465 Pitajanmaen yritysalue,""Avopari ja lapsia"",68"
"091 465 Pitajanmaen yritysalue,""aiti ja lapsia"",128"
"091 465 Pitajanmaen yritysalue,""Isa ja lapsia"",18"
"091 205 Kaarelan peruspiiri,""Perheet yhteensa"",7878"
"091 205 Kaarelan peruspiiri,""Aviopari ilman lapsia"",2281"
"091 205 Kaarelan peruspiiri,""Avopari ilman lapsia"",1449"
"091 205 Kaarelan peruspiiri,""Aviopari ja lapsia"",2182"
"091 205 Kaarelan peruspiiri,""Avopari ja lapsia"",583"
"091 205 Kaarelan peruspiiri,""aiti ja lapsia"",1210"
"091 205 Kaarelan peruspiiri,""Isa ja lapsia"",173"
"091 331 Kannelmaki,""Perheet yhteensa"",2934"
"091 331 Kannelmaki,""Aviopari ilman lapsia"",861"
"091 331 Kannelmaki,""Avopari ilman lapsia"",615"
"091 331 Kannelmaki,""Aviopari ja lapsia"",720"
"091 331 Kannelmaki,""Avopari ja lapsia"",173"
"091 331 Kannelmaki,""aiti ja lapsia"",506"
"091 331 Kannelmaki,""Isa ja lapsia"",59"
"091 332 Maununneva,""Perheet yhteensa"",803"
"091 332 Maununneva,""Aviopari ilman lapsia"",262"
"091 332 Maununneva,""Avopari ilman lapsia"",89"
"091 332 Maununneva,""Aviopari ja lapsia"",320"
"091 332 Maununneva,""Avopari ja lapsia"",63"
"091 332 Maununneva,""aiti ja lapsia"",49"
"091 332 Maununneva,""Isa ja lapsia"",20"
"091 333 Malminkartano,""Perheet yhteensa"",2236"
"091 333 Malminkartano,""Aviopari ilman lapsia"",590"
"091 333 Malminkartano,""Avopari ilman lapsia"",428"
"091 333 Malminkartano,""Aviopari ja lapsia"",566"
"091 333 Malminkartano,""Avopari ja lapsia"",156"
"091 333 Malminkartano,""aiti ja lapsia"",428"
"091 333 Malminkartano,""Isa ja lapsia"",68"
"091 334 Hakuninmaa,""Perheet yhteensa"",811"
"091 334 Hakuninmaa,""Aviopari ilman lapsia"",307"
"091 334 Hakuninmaa,""Avopari ilman lapsia"",106"
"091 334 Hakuninmaa,""Aviopari ja lapsia"",264"
"091 334 Hakuninmaa,""Avopari ja lapsia"",64"
"091 334 Hakuninmaa,""aiti ja lapsia"",60"
"091 334 Hakuninmaa,""Isa ja lapsia"",10"
"091 335 Kuninkaantammi,""Perheet yhteensa"",884"
"091 335 Kuninkaantammi,""Aviopari ilman lapsia"",226"
"091 335 Kuninkaantammi,""Avopari ilman lapsia"",171"
"091 335 Kuninkaantammi,""Aviopari ja lapsia"",226"
"091 335 Kuninkaantammi,""Avopari ja lapsia"",101"
"091 335 Kuninkaantammi,""aiti ja lapsia"",146"
"091 335 Kuninkaantammi,""Isa ja lapsia"",14"
"091 336 Honkasuo,""Perheet yhteensa"",210"
"091 336 Honkasuo,""Aviopari ilman lapsia"",35"
"091 336 Honkasuo,""Avopari ilman lapsia"",40"
"091 336 Honkasuo,""Aviopari ja lapsia"",86"
"091 336 Honkasuo,""Avopari ja lapsia"",26"
"091 336 Honkasuo,""aiti ja lapsia"",21"
"091 336 Honkasuo,""Isa ja lapsia"",2"
"091 301 Kallion peruspiiri,""Perheet yhteensa"",7103"
"091 301 Kallion peruspiiri,""Aviopari ilman lapsia"",1946"
"091 301 Kallion peruspiiri,""Avopari ilman lapsia"",2880"
"091 301 Kallion peruspiiri,""Aviopari ja lapsia"",1078"
"091 301 Kallion peruspiiri,""Avopari ja lapsia"",529"
"091 301 Kallion peruspiiri,""aiti ja lapsia"",564"
"091 301 Kallion peruspiiri,""Isa ja lapsia"",106"
"091 100 Sornainen (Ent.),""Perheet yhteensa"",."
"091 100 Sornainen (Ent.),""Aviopari ilman lapsia"",."
"091 100 Sornainen (Ent.),""Avopari ilman lapsia"",."
"091 100 Sornainen (Ent.),""Aviopari ja lapsia"",."
"091 100 Sornainen (Ent.),""Avopari ja lapsia"",."
"091 100 Sornainen (Ent.),""aiti ja lapsia"",."
"091 100 Sornainen (Ent.),""Isa ja lapsia"",."
"091 101 Vilhonvuori,""Perheet yhteensa"",1438"
"091 101 Vilhonvuori,""Aviopari ilman lapsia"",461"
"091 101 Vilhonvuori,""Avopari ilman lapsia"",594"
"091 101 Vilhonvuori,""Aviopari ja lapsia"",186"
"091 101 Vilhonvuori,""Avopari ja lapsia"",80"
"091 101 Vilhonvuori,""aiti ja lapsia"",97"
"091 101 Vilhonvuori,""Isa ja lapsia"",20"
"091 102 Kalasatama,""Perheet yhteensa"",1845"
"091 102 Kalasatama,""Aviopari ilman lapsia"",537"
"091 102 Kalasatama,""Avopari ilman lapsia"",621"
"091 102 Kalasatama,""Aviopari ja lapsia"",358"
"091 102 Kalasatama,""Avopari ja lapsia"",161"
"091 102 Kalasatama,""aiti ja lapsia"",142"
"091 102 Kalasatama,""Isa ja lapsia"",26"
"091 103 Sompasaari,""Perheet yhteensa"",702"
"091 103 Sompasaari,""Aviopari ilman lapsia"",136"
"091 103 Sompasaari,""Avopari ilman lapsia"",206"
"091 103 Sompasaari,""Aviopari ja lapsia"",188"
"091 103 Sompasaari,""Avopari ja lapsia"",74"
"091 103 Sompasaari,""aiti ja lapsia"",87"
"091 103 Sompasaari,""Isa ja lapsia"",11"
"091 104 Hanasaari,""Perheet yhteensa"",.."
"091 104 Hanasaari,""Aviopari ilman lapsia"",.."
"091 104 Hanasaari,""Avopari ilman lapsia"",.."
"091 104 Hanasaari,""Aviopari ja lapsia"",.."
"091 104 Hanasaari,""Avopari ja lapsia"",.."
"091 104 Hanasaari,""aiti ja lapsia"",.."
"091 104 Hanasaari,""Isa ja lapsia"",.."
"091 111 Siltasaari,""Perheet yhteensa"",550"
"091 111 Siltasaari,""Aviopari ilman lapsia"",167"
"091 111 Siltasaari,""Avopari ilman lapsia"",230"
"091 111 Siltasaari,""Aviopari ja lapsia"",67"
"091 111 Siltasaari,""Avopari ja lapsia"",44"
