"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 60 Eira,""Koko vaesto"",""Miehet"",511,341,84,73,110,121,123"
"091 60 Eira,""Koko vaesto"",""Naiset"",572,367,94,71,127,125,155"
"091 60 Eira,""Tyovoima"",""Yhteensa"",568,560,0,66,210,221,71"
"091 60 Eira,""Tyovoima"",""Miehet"",281,-1,0,-1,103,110,-1"
"091 60 Eira,""Tyovoima"",""Naiset"",287,-1,0,-1,107,111,-1"
"091 60 Eira,""Tyolliset"",""Yhteensa"",528,520,0,63,198,209,58"
"091 60 Eira,""Tyolliset"",""Miehet"",266,-1,0,-1,98,107,-1"
"091 60 Eira,""Tyolliset"",""Naiset"",262,-1,0,-1,100,102,-1"
"091 60 Eira,""Tyottomat"",""Yhteensa"",40,40,0,-1,12,12,13"
"091 60 Eira,""Tyottomat"",""Miehet"",15,-1,0,-1,-1,-1,-1"
"091 60 Eira,""Tyottomat"",""Naiset"",25,-1,0,-1,-1,-1,-1"
"091 60 Eira,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",515,148,178,78,27,25,207"
"091 60 Eira,""Tyovoiman ulkopuolella olevat"",""Miehet"",230,-1,84,39,-1,-1,89"
"091 60 Eira,""Tyovoiman ulkopuolella olevat"",""Naiset"",285,-1,94,39,-1,-1,118"
"091 60 Eira,""0-14-vuotiaat"",""Yhteensa"",178,0,178,0,0,0,0"
"091 60 Eira,""0-14-vuotiaat"",""Miehet"",84,0,84,0,0,0,0"
"091 60 Eira,""0-14-vuotiaat"",""Naiset"",94,0,94,0,0,0,0"
"091 60 Eira,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",70,-1,0,-1,-1,-1,0"
"091 60 Eira,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,-1,0"
"091 60 Eira,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",34,-1,0,-1,-1,-1,0"
"091 60 Eira,""Elakelaiset ja muut"",""Yhteensa"",267,78,0,18,20,22,207"
"091 60 Eira,""Elakelaiset ja muut"",""Miehet"",110,-1,0,-1,-1,-1,-1"
"091 60 Eira,""Elakelaiset ja muut"",""Naiset"",157,-1,0,-1,-1,-1,-1"
