INDEX;ASUKKAITA;ASVALJYYS;IKA0_9;IKA10_19;IKA20_29;IKA30_39;IKA40_49;IKA50_59;IKA60_69;IKA70_79;IKA_YLI80
16926;170;34.06;23;22;11;31;29;17;23;10;4
16927;383;35.18;29;56;49;63;54;48;42;32;10
16928;48;45.42;99;99;99;99;99;99;99;99;99
16929;330;41.73;32;23;39;63;40;39;39;32;23
16930;489;37.38;35;33;76;73;64;52;62;53;41
16931;141;38.33;18;25;13;31;14;14;18;6;2
16932;9;34.78;99;99;99;99;99;99;99;99;99
16933;112;46.38;17;22;7;12;21;17;11;3;2
16934;242;45.25;21;29;27;28;37;31;28;16;25
16935;537;28.67;40;34;47;71;54;47;54;68;122
16936;574;31.68;38;28;118;147;89;51;51;38;14
16937;178;30.26;20;17;20;42;32;18;14;11;4
16938;9;20.22;99;99;99;99;99;99;99;99;99
16939;151;30.19;12;14;23;25;23;21;18;13;2
16940;100;22.83;9;11;7;23;18;12;15;5;0
16943;988;31.7;86;71;155;197;131;107;100;108;33
16944;1157;26.49;91;81;231;304;163;108;88;59;32
16945;857;29.45;38;30;205;230;132;96;73;37;16
16946;367;30.99;47;24;31;96;63;37;44;18;7
16947;1936;31.88;32;45;693;503;245;145;146;92;35
16948;1738;26.01;23;65;614;448;220;130;125;83;30
16949;1424;34.71;33;46;458;391;178;130;90;62;36
16950;816;41.02;33;20;148;187;103;74;86;103;62
16951;714;27.8;34;44;212;137;59;61;74;58;35
16953;1741;37.22;115;116;351;311;270;193;145;166;74
16954;1764;40.69;109;127;392;291;236;226;164;158;61
16955;1104;42.95;83;99;194;145;143;159;128;105;48
16956;24;62.83;99;99;99;99;99;99;99;99;99
16959;80;81.19;99;99;99;99;99;99;99;99;99
16960;248;67.27;21;31;23;29;30;45;25;31;13
16961;75;96.75;99;99;99;99;99;99;99;99;99
17065;733;34.64;108;95;91;146;129;83;40;25;16
17066;566;35.05;66;59;56;106;103;75;41;50;10
17067;618;35.97;78;96;91;85;112;100;38;16;2
17068;734;31.3;93;154;48;114;169;106;27;21;2
17069;36;54.56;99;99;99;99;99;99;99;99;99
17071;471;34.35;68;51;36;95;94;59;31;26;11
17072;245;29.92;45;38;13;52;58;26;7;2;4
17073;202;32.2;31;33;7;43;58;20;8;2;0
17076;50;44.42;99;99;99;99;99;99;99;99;99
17077;95;46.69;99;99;99;99;99;99;99;99;99
17078;10;16.4;99;99;99;99;99;99;99;99;99
17081;27;38.33;99;99;99;99;99;99;99;99;99
17082;222;41.14;16;39;13;22;23;33;27;32;17
17083;172;48.88;26;19;7;20;28;18;16;20;18
17084;128;50.96;12;18;7;18;19;26;11;11;6
17085;109;35.67;17;19;10;17;19;11;7;3;6
17086;249;39.99;26;42;13;31;38;32;26;29;12
17087;57;38.18;99;99;99;99;99;99;99;99;99
17088;23;77.39;99;99;99;99;99;99;99;99;99
17089;32;48.19;99;99;99;99;99;99;99;99;99
17090;87;52.82;99;99;99;99;99;99;99;99;99
17091;386;37.24;31;34;31;80;46;37;30;66;31
17092;245;42.04;24;37;9;35;37;37;22;30;14
17093;325;30.09;52;50;21;51;54;40;28;23;6
17094;118;45.3;6;22;7;6;21;22;18;12;4
17095;170;34.28;20;24;19;24;30;22;15;12;4
17096;364;26.42;24;22;35;56;35;50;73;52;17
17097;611;30.87;98;38;114;128;90;40;57;36;10
17098;454;33.22;49;37;67;102;67;56;32;30;14
17100;194;34.77;17;23;24;23;24;23;30;26;4
17101;316;34.25;18;22;31;59;44;34;58;36;14
17102;253;30.01;31;6;97;66;23;6;17;7;0
17103;5;999999999;99;99;99;99;99;99;99;99;99
17105;265;40.72;11;11;49;82;33;20;25;22;12
17106;1097;36.65;57;52;284;297;137;100;76;67;27
17107;852;28.31;56;21;201;244;147;78;57;35;13
17108;536;26.38;37;31;122;148;84;43;37;25;9
17109;791;35.61;31;24;188;193;113;60;60;57;65
17110;1645;34.34;35;57;528;487;199;125;104;72;38
17111;1596;29.2;58;80;416;394;233;192;125;71;27
17113;1344;37.43;63;45;235;284;188;117;149;175;88
17114;347;44.59;29;18;15;35;46;30;47;91;36
17115;440;34.14;47;68;33;42;75;68;40;41;26
17116;284;55.28;19;12;50;36;34;36;40;41;16
17117;197;60.42;11;17;38;19;20;36;21;22;13
17118;427;66.18;22;36;48;55;67;73;52;60;14
17119;280;33.85;5;19;76;66;38;32;29;15;0
17122;83;64.36;99;99;99;99;99;99;99;99;99
17123;124;99.83;6;11;12;7;16;16;28;18;10
17124;30;47.57;99;99;99;99;99;99;99;99;99
17223;452;27.66;37;44;183;91;30;20;19;11;17
17226;7;102.43;99;99;99;99;99;99;99;99;99
17227;179;39.02;16;36;7;19;38;31;10;14;8
17228;132;39.89;14;27;3;7;36;19;9;9;8
17229;841;34.91;130;113;112;168;132;79;57;43;7
17230;543;32.95;80;88;31;125;120;60;22;13;4
17231;71;38.48;99;99;99;99;99;99;99;99;99
17232;117;40.76;11;26;4;11;25;22;9;6;3
17233;173;36.39;26;30;6;19;38;16;19;12;7
17234;455;35.91;56;57;87;78;75;49;23;25;5
17235;488;38.08;71;58;69;95;88;61;22;20;4
17236;455;35.44;58;32;46;106;74;38;51;44;6
