Taulu 17C Yksinasuvat (=yhden hengen asuntokunnat) sukupuolen ja iän mukaan peruspiireittäin vuodevaihteessa 2021/2022. Lähde: Tilastokeskus;;;;;;;;;;;;;;
Suurpiiri;Peruspiiri;Sukupuoli;Yhteensä;Ikä, vuotta -19;Ikä, vuotta 20-29;Ikä, vuotta 30-39;Ikä, vuotta 40-49;Ikä, vuotta 50-59;Ikä, vuotta 60-64;Ikä, vuotta 65-69;Ikä, vuotta 70-74;Ikä, vuotta 75-79;Ikä, vuotta 80-84;Ikä, vuotta '85-
5 Koillinen suurpiiri;  502 Pukinmäki;Yhteensä ;2,416;15;346;348;235;343;213;220;235;186;148;127
5 Koillinen suurpiiri;  502 Pukinmäki;Miehet ;987;3;185;205;138;158;71;76;60;44;27;20
5 Koillinen suurpiiri;  502 Pukinmäki;Naiset ;1,429;12;161;143;97;185;142;144;175;142;121;107
5 Koillinen suurpiiri;  503 Malmi;Yhteensä ;6,474;84;937;931;712;1,025;593;589;543;375;351;334
5 Koillinen suurpiiri;  503 Malmi;Miehet ;2,867;37;492;582;440;475;235;185;162;93;80;86
5 Koillinen suurpiiri;  503 Malmi;Naiset ;3,607;47;445;349;272;550;358;404;381;282;271;248
5 Koillinen suurpiiri;  504 Suutarila;Yhteensä ;1,702;17;164;213;183;269;149;158;183;144;104;118
5 Koillinen suurpiiri;  504 Suutarila;Miehet ;717;5;98;141;108;114;52;54;53;43;26;23
5 Koillinen suurpiiri;  504 Suutarila;Naiset ;985;12;66;72;75;155;97;104;130;101;78;95
5 Koillinen suurpiiri;  505 Puistola;Yhteensä ;3,159;36;395;444;367;570;261;282;253;228;168;155
5 Koillinen suurpiiri;  505 Puistola;Miehet ;1,436;16;206;288;243;280;100;86;78;58;43;38
5 Koillinen suurpiiri;  505 Puistola;Naiset ;1,723;20;189;156;124;290;161;196;175;170;125;117
5 Koillinen suurpiiri;  506 Jakomäki;Yhteensä ;1,407;9;199;170;155;236;114;105;115;103;100;101
5 Koillinen suurpiiri;  506 Jakomäki;Miehet ;688;6;128;119;99;122;56;42;44;26;24;22
5 Koillinen suurpiiri;  506 Jakomäki;Naiset ;719;3;71;51;56;114;58;63;71;77;76;79
6 Kaakkoinen suurpiiri;6 Kaakkoinen suurpiiri;Yhteensä ;14,416;159;2,601;2,299;1,606;2,148;1,205;1,146;1,051;874;603;724
6 Kaakkoinen suurpiiri;6 Kaakkoinen suurpiiri;Miehet ;5,957;72;1,220;1,258;906;937;457;348;265;236;113;145
